ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Meta: _eael_post_view_count,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,simple,GG-11 A-M,,Aqua Blue & Pink Banarasi Silk Saree with Silver Zari | Festive & Wedding Wear Saree | Elegant Banarasi Saree with Contrast Pallu,1,0,visible,"Drape elegance with this aqua blue and pink Banarasi silk saree, featuring silver zari motifs, a rich paisley-floral pallu, and ornate contrast border. Perfect for weddings, parties, and festive occasions, comes with matching blouse piece.","Add vibrancy to your ethnic wardrobe with this Aqua Blue and Pink Banarasi Silk Saree with Silver Zari Weaving, a masterpiece that blends tradition with sophistication. The aqua blue silk base is beautifully adorned with structured silver zari block motifs, adding richness and subtle shimmer to the body.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img923/2072/Bud3WM.jpg, https://imagizer.imageshack.com/img924/6879/fxyg3n.jpg, https://imagizer.imageshack.com/img923/9686/HdzVxK.jpg, https://imagizer.imageshack.com/img924/6247/yxs05e.jpg, https://imagizer.imageshack.com/img923/8477/yK2TcT.jpg, https://imagizer.imageshack.com/img923/9775/WjoHVM.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-12 A-M,,Orange & Pink Banarasi Silk Saree with Silver Zari | Wedding & Festive Saree | Traditional Banarasi Saree with Rich Contrast Pallu,1,0,visible,"Shine with elegance in this orange and pink Banarasi silk saree, featuring silver zari motifs, intricate temple & paisley pallu, and ornate border. Perfect for weddings, festivals, and grand occasions. Comes with a matching blouse piece.","Celebrate timeless tradition with this Orange and Pink Banarasi Silk Saree with Silver Zari Work, a masterpiece that radiates festive grandeur. The bright orange silk base is embellished with silver zari checks and floral weaving, blending heritage artistry with vibrant charm.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/1977/69z1pz.jpg, https://imagizer.imageshack.com/img923/4012/whvwM5.jpg, https://imagizer.imageshack.com/img923/7165/VuL4Mf.jpg, https://imagizer.imageshack.com/img922/7881/8geMhv.jpg, https://imagizer.imageshack.com/img924/7483/CmGJMS.jpg, https://imagizer.imageshack.com/img922/6748/0jngyO.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-13 A-M,,Pastel Green & Dark Green Banarasi Silk Saree with Silver Zari | Wedding & Festive Wear | Elegant Designer Banarasi Saree,1,0,visible,"Exude elegance with this pastel green Banarasi silk saree featuring silver zari motifs, dark green border & pallu, and paisley accents. Paired with a contrasting grey blouse, perfect for weddings, receptions, and festive occasions.","Discover the perfect harmony of grace and tradition with this Pastel Green and Dark Green Banarasi Silk Saree with Silver Zari Weaving. The soft pastel green body is beautifully adorned with geometric zari motifs in square patterns, enhanced by delicate pink accents that add a subtle touch of vibrance.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img922/5094/7jFLeJ.jpg, https://imagizer.imageshack.com/img923/8291/DYC8f3.jpg, https://imagizer.imageshack.com/img924/2366/Or851x.jpg, https://imagizer.imageshack.com/img922/5863/h3Lb4O.jpg, https://imagizer.imageshack.com/img923/8943/Oeh65x.jpg, https://imagizer.imageshack.com/img923/1429/Y6b3Vt.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-14 A-M,,Baby Pink Banarasi Silk Saree with Silver Zari Weaving | Wedding & Festive Wear | Elegant Traditional Designer Saree,1,0,visible,"Embrace timeless grace with this baby pink Banarasi silk saree, richly woven with silver zari motifs, ornate border & pallu. Paired with a matching blouse, perfect for weddings, festivals, and special occasions.","Celebrate elegance and tradition with this Baby Pink Banarasi Silk Saree with Rich Silver Zari Detailing. Crafted from premium silk, the soft pastel pink body is beautifully embellished with intricate geometric and floral motifs, woven in silver zari that radiates subtle grandeur.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/5885/HZbxBn.jpg, https://imagizer.imageshack.com/img922/5691/rW7ts2.jpg, https://imagizer.imageshack.com/img922/7043/QR9L5g.jpg, https://imagizer.imageshack.com/img922/1578/oafFJT.jpg, https://imagizer.imageshack.com/img923/231/gjHsPq.jpg, https://imagizer.imageshack.com/img923/6406/x3oHUj.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-15 A-M,,Mauve Banarasi Silk Saree with Silver Geometric & Floral Zari | Wedding & Festive Wear | Elegant Designer Saree,1,0,visible,"Turn heads with this mauve Banarasi silk saree featuring silver zari geometric patterns, floral pallu & ornate border. Perfect for weddings, receptions, and festive occasions.","Add a touch of refined elegance to your wardrobe with this Mauve Banarasi Silk Saree with Silver Geometric and Floral Zari Work. The body of the saree is adorned with striking geometric silver zari patterns, offering a modern edge while staying rooted in tradition.",,,taxable,,1,100,,0,0,,,,,1,,1500,2800,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img923/1747/tVIAVX.jpg, https://imagizer.imageshack.com/img924/812/iGZIHm.jpg, https://imagizer.imageshack.com/img924/9267/XHl9VY.jpg, https://imagizer.imageshack.com/img922/2801/hpqNXV.jpg, https://imagizer.imageshack.com/img923/9776/PUeT4X.jpg, https://imagizer.imageshack.com/img923/65/EMru8w.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-16 A-M,,Pastel Green Banarasi Silk Saree with Golden Zari Weaving | Geometric & Floral Design | Wedding & Festive Wear Saree,1,0,visible,"Exude elegance with this pastel green Banarasi silk saree, adorned with golden zari geometric motifs and floral weaves on the border & pallu. A perfect pick for weddings, festivals, and cultural events.","Step into the world of sophistication with this Pastel Green Banarasi Silk Saree with Golden Zari Weaving. The body of the saree is enhanced with delicate geometric diamond motifs in shimmering gold, symbolizing timeless artistry.",,,taxable,,1,100,,0,0,,,,,1,,1350,2499,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/5557/9LdJaa.jpg, https://imagizer.imageshack.com/img922/7972/fIOXdm.jpg, https://imagizer.imageshack.com/img924/8481/oLCfIE.jpg, https://imagizer.imageshack.com/img924/9268/nvNGmr.jpg, https://imagizer.imageshack.com/img922/5466/QqASdk.jpg, https://imagizer.imageshack.com/img923/3553/1SFKK8.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-17 A-M,,Lavender Banarasi Silk Saree with Silver Zari Geometric & Floral Weaving | Wedding & Festive Traditional Saree,1,0,visible,"Elevate your look with this lavender Banarasi silk saree featuring silver zari geometric motifs, floral pallu & ornate border. Perfect for weddings, festivals & traditional gatherings.","Step into grace and sophistication with this Lavender Banarasi Silk Saree with Silver Zari Geometric and Floral Design. The body is elegantly woven with delicate geometric zari motifs, adding a structured charm, while the pallu and ornate borders are enriched with floral silver zari detailing for a timeless touch.",,,taxable,,1,100,,0,0,,,,,1,,1350,2499,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/8403/M6a5go.jpg, https://imagizer.imageshack.com/img923/7669/0BsPKx.jpg, https://imagizer.imageshack.com/img923/6519/AlAKDo.jpg, https://imagizer.imageshack.com/img924/2903/C1BNmP.jpg, http",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-18 A-M,,"Emerald Green Banarasi Silk Saree with Silver Zari | Geometric & Floral Design | Wedding, Festive & Traditional Wear",1,0,visible,"Make a statement with this emerald green Banarasi silk saree, featuring silver zari geometric motifs, floral pallu, and ornate borders. Ideal for weddings, festivals, and traditional celebrations.","Embrace sophistication with this Emerald Green Banarasi Silk Saree with Silver Zari Detailing. The saree’s body is adorned with intricate geometric patterns in diamond and triangle shapes, while the lavish pallu showcases traditional floral motifs, reflecting the elegance of Indian craftsmanship.",,,taxable,,1,100,,0,0,,,,,1,,1350,2499,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img923/3471/6hmLMH.jpg, https://imagizer.imageshack.com/img922/2430/b21ZQb.jpg, https://imagizer.imageshack.com/img924/899/5UO6iC.jpg, https://imagizer.imageshack.com/img924/5585/Vj3uvE.jpg, https://imagizer.imageshack.com/img923/7655/igjhWT.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-19 A-M,,"Light Green Banarasi Silk Saree with Golden Zari | Wedding, Festive & Traditional Wear | Elegant Designer Saree",1,0,visible,"Enhance your elegance with this light green Banarasi silk saree featuring intricate golden zari motifs, rich pallu, and detailed borders. Ideal for weddings, festive occasions, and grand celebrations, paired with a matching blouse.","Step into timeless elegance with this Graceful Light Green Banarasi Silk Saree. Crafted from premium silk, the saree is adorned with all-over intricate golden zari weaving, creating patterns that showcase traditional artistry and sophistication.",,,taxable,,1,100,,0,0,,,,,1,,1350,2499,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/1722/3AIQtP.jpg, https://imagizer.imageshack.com/img922/9057/6vXGcD.jpg, https://imagizer.imageshack.com/img923/7358/jWmV9K.jpg, https://imagizer.imageshack.com/img922/5171/0i4P8k.jpg, https://imagizer.imageshack.com/img924/6822/nvguWO.jpg, https://imagizer.imageshack.com/img924/5263/1xXtZo.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-23 A-M,,"Mint Green Banarasi Silk Saree with Golden Zari & Peacock Design | Wedding, Festive & Traditional Wear | Designer Saree",1,0,visible,"Drape elegance with this mint green Banarasi silk saree, featuring golden zari motifs, peacock patterns, and richly woven pallu. Perfect for weddings, festivals, parties, and traditional celebrations, with matching blouse piece included.","Step into timeless sophistication with this Elegant Mint Green Banarasi Silk Saree with Golden Zari Weaving. The luxurious Banarasi silk fabric is adorned with intricate golden zari motifs, creating a regal look that combines tradition with style.",,,taxable,,1,100,,0,0,,,,,1,,1350,2499,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img923/5104/n6dkdX.jpg, https://imagizer.imageshack.com/img923/2564/ifeCfE.jpg, https://imagizer.imageshack.com/img923/2217/lcMHrD.jpg, https://imagizer.imageshack.com/img923/5962/dQXtwi.jpg, https://imagizer.imageshack.com/img923/6542/9PEgyT.jpg, https://imagizer.imageshack.com/img922/1428/Rc2bbK.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-24 A-M,,"Lime Green Banarasi Silk Saree with Golden Zari & Peacock Motifs | Wedding, Festive & Traditional Wear | Designer Saree",1,0,visible,"Radiate elegance with this lime green Banarasi silk saree, adorned with golden zari peacock and paisley motifs, rich floral pallu, and ornate borders. Ideal for weddings, festivals, parties, and traditional occasions, with matching blouse piece included.","Add a touch of festive charm to your ethnic wardrobe with this Lime Green Banarasi Silk Saree with Intricate Zari Peacock Motifs. The saree features premium Banarasi silk fabric intricately woven with golden zari work, highlighting elegant peacock and paisley motifs throughout the body.",,,taxable,,1,100,,0,0,,,,,1,,1350,2499,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/305/9elxaz.jpg, https://imagizer.imageshack.com/img922/6404/h88mNz.jpg, https://imagizer.imageshack.com/img923/5632/s0ausZ.jpg, https://imagizer.imageshack.com/img923/2818/RK8BrQ.jpg, https://imagizer.imageshack.com/img922/9624/CXNNas.jpg, https://imagizer.imageshack.com/img922/3417/JrAcZ0.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-25 A-M,,"Mauve Purple Banarasi Silk Saree with Golden Zari & Peacock Motifs | Wedding, Festive & Traditional Designer Saree",1,0,visible,"Exude regal charm with this mauve purple Banarasi silk saree, featuring golden zari peacock motifs, leaf butis, and intricately woven pallu. Perfect for weddings, festive events, parties, and traditional celebrations, with matching blouse included.","Elevate your ethnic wardrobe with this Mauve Purple Banarasi Silk Saree with Gold Zari Peacock Work. Crafted from premium Banarasi silk, the saree is adorned with intricate golden zari weaving, showcasing majestic peacock motifs and delicate leaf butis across the body for a sophisticated look.",,,taxable,,1,100,,0,0,,,,,1,,1350,2499,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/6354/OcNCQ1.jpg, https://imagizer.imageshack.com/img924/8716/pVU8x5.jpg, https://imagizer.imageshack.com/img923/5995/Aw6WHM.jpg, https://imagizer.imageshack.com/im",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-26 A-M,,"Lavender Banarasi Silk Saree with Golden Zari & Peacock Motifs | Wedding, Festive & Traditional Designer Saree",1,0,visible,"Elevate your ethnic look with this lavender Banarasi silk saree, featuring golden zari peacock motifs, delicate leaf butis, and a richly woven pallu. Perfect for weddings, festive events, parties, and traditional celebrations, with matching blouse included.","Step into elegance with this Lavender Banarasi Silk Saree with Golden Zari Weaving. Crafted from premium Banarasi art silk, the saree is adorned with intricate golden zari motifs, including traditional peacocks and delicate leaf butis across the body.",,,taxable,,1,100,,0,0,,,,,1,,1350,2499,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img923/7072/e1bRmK.jpg, https://imagizer.imageshack.com/img923/695/VBmk2L.jpg, https://imagizer.imageshack.com/img922/5935/jO9QxC.jpg, https://imagizer.imageshack.com/img922/3183/igzgRE.jpg, https://",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
